INPUT	CODE-NAME	INPUT-TYPE	#sanskrit	#hindi	#marathi	#modi	#bengali	#gurmukhi	#gujarati	#oriya	#tamil	#telugu	#kannada	#malayalam	#grantha	#iso15919
2	two		u+0968	u+0968	u+0968	u+11652	u+09E8	u+0A68	u+0AE8	u+0B68	u+0BE8	u+0C68	u+0CE8	u+0D68	u+0BE8	2
3	three		u+0969	u+0969	u+0969	u+11653	u+09E9	u+0A69	u+0AE9	u+0B69	u+0BE9	u+0C69	u+0CE9	u+0D69	u+0BE9	3
4	four		u+096A	u+096A	u+096A	u+11654	u+09EA	u+0A6A	u+0AEA	u+0B6A	u+0BEA	u+0C6A	u+0CEA	u+0D6A	u+0BEA	4
5	five		u+096B	u+096B	u+096B	u+11655	u+09EB	u+0A6B	u+0AEB	u+0B6B	u+0BEB	u+0C6B	u+0CEB	u+0D6B	u+0BEB	5
6	six		u+096C	u+096C	u+096C	u+11656	u+09EC	u+0A6C	u+0AEC	u+0B6C	u+0BEC	u+0C6C	u+0CEC	u+0D6C	u+0BEC	6
7	seven		u+096D	u+096D	u+096D	u+11657	u+09ED	u+0A6D	u+0AED	u+0B6D	u+0BED	u+0C6D	u+0CED	u+0D6D	u+0BED	7
8	eight		u+096E	u+096E	u+096E	u+11658	u+09EE	u+0A6E	u+0AEE	u+0B6E	u+0BEE	u+0C6E	u+0CEE	u+0D6E	u+0BEE	8
9	nine		u+096F	u+096F	u+096F	u+11659	u+09EF	u+0A6F	u+0AEF	u+0B6F	u+0BEF	u+0C6F	u+0CEF	u+0D6F	u+0BEF	9
																
{}	no-ligature	command	{virama}{zwj}	{virama}{zwj}	{virama}{zwj}	{virama}{zwj}	{virama}{zwj}	{virama}{zwj}	{virama}{zwj}	{virama}{zwj}	{virama}{zwj}	{virama}{zwj}	{virama}{zwj}	{virama}{zwj}	{virama}{zwj}	
_	no-output	command														
																
	zwsp		u+200B	u+200B	u+200B	u+200B	u+200B	u+200B	u+200B	u+200B	u+200B	u+200B	u+200B	u+200B	u+200B	
	zwnj		u+200C	u+200C	u+200C	u+200C	u+200C	u+200C	u+200C	u+200C	u+200C	u+200C	u+200C	u+200C	u+200C	
	zwj		u+200D	u+200D	u+200D	u+200D	u+200D	u+200D	u+200D	u+200D	u+200D	u+200D	u+200D	u+200D	u+200D	
																
	consonants-joiner	command	{virama}	{virama}	{virama}	{virama}	{virama}	{virama}	{virama}	{virama}	{virama}	{virama}	{virama}	{virama}	{virama}	
	end-word-vowel	command	{explicit-virama}	{dv-a}	{dv-a}	{dv-a}	{explicit-virama}	{explicit-virama}	{explicit-virama}	{explicit-virama}	{explicit-virama}	{explicit-virama}	{explicit-virama}	{explicit-virama}	{explicit-virama}	
																
##	itrans-toggle	command														
																
	face-grin		😀	😀	😀	😀	😀	😀	😀	😀	😀	😀	😀	😀	😀	😀
	face-neutral		u+1F610	u+1F610	u+1F610	u+1F610	u+1F610	u+1F610	u+1F610	u+1F610	u+1F610	u+1F610	u+1F610	u+1F610	u+1F610	😐
	face-frown		u+2639	u+2639	u+2639	u+2639	u+2639	u+2639	u+2639	u+2639	u+2639	u+2639	u+2639	u+2639	u+2639	☹
	skier		u+26F7	u+26F7	u+26F7	u+26F7	u+26F7	u+26F7	u+26F7	u+26F7	u+26F7	u+26F7	u+26F7	u+26F7	u+26F7	⛷
	heart		u+2764	u+2764	u+2764	u+2764	u+2764	u+2764	u+2764	u+2764	u+2764	u+2764	u+2764	u+2764	u+2764	❤
